Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Blake Lehew,M,SBD,Raw,27,24-34,24-39,Open,82.5,82.5,295,310,-320,,310,220,230,-238,,230,375,-390,-390,,375,915,1,619.81,612.96,589.79,127.05,,USA,TX,WRPF,WRPF,2022-12-04,USA,CA,Los Angeles,PPC Finals
Blake Lehew,M,SBD,Raw,27,24-34,24-39,Open,82.4,82.5,-295,295,-310,,295,215,225,-230,,225,365,-390,-390,,365,885,1,599.90,593.30,570.90,122.96,,USA,TX,USPA,IPL,2022-09-24,USA,MO,North Kansas City,Pro Raw Championships
Blake Lehew,M,SBD,Wraps,27,24-34,24-39,Open,82.4,82.5,300,320,330,,330,215,-222.5,-222.5,,215,-365,-385,385,-412.5,385,930,1,630.41,623.47,599.93,129.21,,USA,TX,WRPF,WRPF,2022-07-29,USA,VA,Manassas,American Pro
Blake Lehew,M,SBD,Raw,26,24-34,24-39,Open,82.3,82.5,285,295,300,,300,212.5,220,227.5,,227.5,-345,345,382.5,,382.5,910,1,617.28,610.50,587.49,126.51,,USA,TX,USPA,IPL,2022-01-15,USA,FL,Miami,Hybrid Showdown 4
Blake Lehew,M,SBD,Raw,26,24-34,24-39,Open,82.2,82.5,290,305,-315,,305,215,-227.5,-227.5,,215,-340,340,-365,,340,860,1,583.76,577.38,555.65,119.63,,USA,TX,WRPF,WRPF,2021-09-25,USA,MO,Kansas City,The Bucked Up Showdown
Blake Lehew,M,SBD,Wraps,25,24-34,24-39,Open,82,82.5,320,340,-350,,340,200,215,-227.5,,215,340,355,-367.5,,355,910,1,618.56,611.85,588.88,126.74,,USA,TX,WRPF,WRPF,2021-04-24,USA,CA,San Diego,Kern US Open
Blake Lehew,M,SBD,Raw,25,24-34,24-39,Open,80.7,82.5,275,-285,285,,285,185,195,205,,205,-325,-325,325,,325,815,2,559.12,553.37,532.98,114.44,,USA,TX,WRPF,WRPF,2020-09-26,USA,MO,North Kansas City,The Showdown
Blake Lehew,M,SBD,Raw,24,24-34,24-39,Open,74.8,75,265,280,-290,,280,185,195,,,195,-340,-340,-340,,,,DQ,,,,,,USA,TX,USPA,IPL,2020-07-11,USA,TX,Coleman,Pioneer Open
Blake Lehew,M,SBD,Raw,24,24-34,24-39,Open,75,75,265,275.5,-285,,275.5,170,182.5,,,182.5,305,325,333,,333,791,1,567.48,563.64,544.61,115.32,,USA,TX,USPA,IPL,2019-12-07,USA,TX,Klein,Bend The Bar
Blake Lehew,M,SBD,Raw,24,24-34,24-39,Open,74.7,75,,,,,272.5,,,,,175,,,,,305,752.5,1,541.25,537.70,519.64,109.94,,USA,,USPA,IPL,2019-08-03,USA,TX,San Antonio,The Tribute
Blake Lehew,M,D,Single-ply,23,20-23,24-39,M-O,77.34,83,,,,,,,,,,,275,300,-325,,300,300,1,211.12,209.35,202.01,,Yes,USA,TX,USAPL,IPF,2019-03-03,USA,OH,Columbus,Arnold Pro Deadlift
Blake Lehew,M,SBD,Raw,23,20-23,19-23,MR-O,73.7,74,245,255,262.5,,262.5,165,175,-180,,175,295,310.5,-338,,310.5,748,2,542.72,539.60,521.78,110.05,Yes,USA,TX,USAPL,IPF,2018-10-11,USA,WA,Spokane,Raw Nationals
Blake Lehew,M,SBD,Single-ply,23,20-23,19-23,Juniors,73.9,74,-295,295,305,,305,-210,-210,-210,,,,,,,,,DQ,,,,,Yes,USA,,IPF,IPF,2018-09-03,South Africa,,Potchefstroom,World Juniors & Sub-Juniors Championships
