Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Chad Penson,M,SBD,Raw,30,24-34,24-39,Open,94.7,100,317.5,337.5,-347.5,,337.5,215,227.5,232.5,,232.5,330,347.5,-370,,347.5,917.5,1,578.76,571.53,546.65,118.98,,USA,AL,USPA,IPL,2022-10-07,USA,IL,Carol Stream,Power Surge VI
Chad Penson,M,SBD,Raw,30,24-34,24-39,Open,94.7,100,320,332.5,-345,,332.5,220,227.5,230,,230,325,340,-362.5,,340,902.5,2,569.30,562.19,537.71,117.03,,USA,FL,USPA,IPL,2022-09-24,USA,MO,North Kansas City,Pro Raw Championships
Chad Penson,M,SBD,Wraps,30,24-34,24-39,Open,99.1,100,405,420,-432.5,,420,220,230,-237.5,,230,-337.5,337.5,-350,,337.5,987.5,1,610.22,603.18,576.20,125.29,,USA,FL,WRPF,WRPF,2022-07-29,USA,VA,Manassas,American Pro
Chad Penson,M,SBD,Raw,29,24-34,24-39,Open,90,90,342.5,-357.5,-357.5,,342.5,220,235,-240,,235,-347.5,347.5,-365,,347.5,925,2,598.11,590.51,565.95,122.97,,USA,CA,WRPF,WRPF,2021-09-25,USA,MO,Kansas City,The Bucked Up Showdown
Chad Penson,M,SBD,Wraps,28,24-34,24-39,Open,88.5,90,370,393,400,,400,220,232.5,-235,,232.5,347.5,365,-372.5,,365,997.5,1,650.53,642.36,616.09,133.72,,USA,CA,WRPF,WRPF,2021-04-24,USA,CA,San Diego,Kern US Open
Chad Penson,M,SBD,Raw,28,24-34,24-39,Open,90,90,317.5,327.5,337.5,,337.5,215,222.5,-227.5,,222.5,347.5,360,,,360,920,2,594.87,587.32,562.89,122.31,,USA,,WRPF,WRPF,2021-02-20,USA,FL,Miami,Hybrid Showdown III
Chad Penson,M,SBD,Wraps,27,24-34,24-39,Pro Open,90,90,-332.5,-340,340,,340,200,212.5,220,,220,322.5,335,345,,345,905,1,585.17,577.75,553.71,120.31,,USA,CA,USA-UA,,2019-08-30,USA,CA,Mountain View,Boss of Bosses 6
Chad Penson,M,SBD,Raw,27,24-34,24-39,Open,89.6,90,,,,,305,,,,,217.5,,,,,340,862.5,1,558.95,551.87,529.01,114.91,,USA,,USPA,IPL,2019-08-03,USA,TX,San Antonio,The Tribute
Chad Penson,M,SBD,Wraps,26,24-34,24-39,Open,82.3,82.5,305,330,332.5,,332.5,192.5,205,-210,,205,317.5,335,-340,,335,872.5,2,591.84,585.35,563.28,121.30,,USA,,WRPF,WRPF,2019-04-27,USA,CA,Del Mar,Kern US Open
Chad Penson,M,SBD,Wraps,26,24-34,24-39,Open,89.5,90,,,,,325,,,,,205,,,,,320,850,1,551.16,544.18,521.67,113.31,,USA,CA,USPA,IPL,2018-12-08,USA,CO,Denver,Snowball Open
Chad Penson,M,SBD,Raw,26,24-34,24-39,Pro MR-O,82.2,82.5,240,262.5,272.5,,272.5,185,197.5,202.5,,202.5,292.5,305,320,,320,795,2,539.64,533.74,513.65,110.59,,USA,,WRPF,WRPF,2018-08-24,USA,CA,Mountain View,Boss of Bosses V
Chad Penson,M,SBD,Raw,26,24-34,24-39,Open,81.4,82.5,,,,,265,,,,,197.5,,,,,300,762.5,2,520.49,514.97,495.81,106.60,,USA,CA,USPA,IPL,2018-07-12,USA,NV,Las Vegas,National Championships
Chad Penson,M,SBD,Raw,25,24-34,24-39,Open,82.4,82.5,,,,,252.5,,,,,182.5,,,,,297.5,732.5,2,496.53,491.06,472.53,101.77,,USA,CA,USPA,IPL,2018-01-06,USA,CA,Los Angeles,American Cup
Chad Penson,M,SBD,Raw,25,24-34,24-39,Open,82.2,82.5,,,,,260,,,,,177.5,,,,,277.5,715,1,485.34,480.03,461.96,99.46,,USA,CA,USPA,IPL,2017-12-02,USA,CA,San Diego,Deadweight Open
Chad Penson,M,SBD,Wraps,24,24-34,24-39,pure,81.19,82.5,,,,,250,,,,,172.5,,,,,285,707.5,1,483.67,478.59,460.83,99.04,Yes,USA,NM,NASA,,2016-07-09,USA,,,Grand Nationals
Chad Penson,M,SBD,Wraps,24,24-34,24-39,open,81.19,82.5,,,,,250,,,,,172.5,,,,,285,707.5,1,483.67,478.59,460.83,99.04,Yes,USA,NM,NASA,,2016-07-09,USA,,,Grand Nationals
Chad Penson,M,SBD,Raw,23,20-23,24-39,Law/Fire/Military,81.33,82.5,237.5,242.5,-250,,242.5,170,182.5,187.5,,187.5,255,272,-275,,272,702,1,479.43,474.36,456.73,98.18,Yes,USA,NM,RAW,,2016-06-11,USA,,,American Challenge
Chad Penson,M,SBD,Raw,23,20-23,24-39,Open,81.33,82.5,237.5,242.5,-250,,242.5,170,182.5,187.5,,187.5,255,272,-275,,272,702,1,479.43,474.36,456.73,98.18,Yes,USA,NM,RAW,,2016-06-11,USA,,,American Challenge
Chad Penson,M,SBD,Raw,20,20-23,19-23,Juniors 20-24,79.92,82.5,177.58,184.2,-191.23,,184.2,143.38,152.32,161.43,,161.43,184.61,207.34,221.26,228.07,221.26,566.9,1,391.13,387.27,373.16,79.99,Yes,USA,NM,RAW,,2013-03-01,USA,NM,,505 Championships
Chad Penson,M,SBD,Raw,20,20-23,19-23,Open,79.92,82.5,177.58,184.2,-191.23,,184.2,143.38,152.32,161.43,,161.43,184.61,207.34,221.26,228.07,221.26,566.9,1,391.13,387.27,373.16,79.99,Yes,USA,NM,RAW,,2013-03-01,USA,NM,,505 Championships
Chad Penson,M,SBD,Raw,20,20-23,19-23,MR-Jr,74.7,75,177.5,-192.5,-192.5,,177.5,137.5,-142.5,145,,145,190,205,-225,,205,527.5,5,379.41,376.93,364.27,77.07,Yes,USA,NM,USAPL,IPF,2012-08-03,USA,TX,Killeen,Raw Nationals
