Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Yury Belkin,M,SBD,Raw,31,24-34,24-39,Open,99.9,100,290,305,315,,315,210,220,,,220,385,-405,-405,,385,920,1,566.52,560.13,534.99,116.28,,Russia,,RPU,,2022-06-24,Russia,VLA,Suzdal,National Championships
Yury Belkin,M,SBD,Raw,30,24-34,24-39,Open,99.6,100,295,310,322.5,,322.5,210,222.5,227.5,,227.5,-405,405,-425,,405,955,1,588.84,582.14,556.05,120.87,,Russia,,RPU,,2021-06-19,Russia,VLA,Suzdal,National Championships
Yury Belkin,M,SBD,Wraps,30,24-34,24-39,Amateur Open,99.4,100,365,-390,,,365,215,227.5,-232.5,,227.5,405,-415,-415,,405,997.5,1,615.59,608.54,581.28,126.37,,Russia,,NAP,IPA,2021-04-03,Russia,KYA,Krasnoyarsk,Siberian Power Show
Yury Belkin,M,SBD,Raw,29,24-34,24-39,Open,100,100,305,-320,325,,325,215,227.5,232.5,,232.5,-415,415,-442.5,,415,972.5,1,598.59,591.85,565.29,122.86,,Russia,,IPL,IPL,2020-11-21,Russia,MOW,Moscow,European Championships
Yury Belkin,M,D,Raw,29,24-34,24-39,Pro Open,103,110,,,,,,,,,,,445,,,,445,445,1,270.50,267.76,255.67,,,Russia,,WPF,,2020-11-14,Russia,MOW,Moscow,World Championships
Yury Belkin,M,SBD,Raw,29,24-34,24-39,Open,100,100,305,-320,320,,320,210,225,-230,,225,420,-442.5,,,420,965,1,593.97,587.29,560.93,121.91,,Russia,,RPU,,2020-10-03,Russia,LEN,St. Petersburg,European Cup
Yury Belkin,M,D,Raw,29,24-34,24-39,Open,99.8,100,,,,,,,,,,,405,-435,-435,,405,405,1,249.50,246.68,235.61,,,Russia,,RPU,,2020-09-05,Russia,VLA,Suzdal,National Championships
Yury Belkin,M,SBD,Raw,29,24-34,24-39,Open,99.8,100,-305,305,-320,,305,210,220,225,,225,405,-435,-435,,405,935,1,576.01,569.49,543.94,118.23,,Russia,,RPU,,2020-09-05,Russia,VLA,Suzdal,National Championships
Yury Belkin,M,SBD,Wraps,28,24-34,24-39,M-OR,104.3,,420,-455,-455,,420,225,235,-240,,235,415,-435,-435,,415,1070,3,647.06,640.90,611.97,132.52,,Russia,,ProRaw,,2019-11-02,Australia,VIC,South Wharf,Big Dogs 4
Yury Belkin,M,SBD,Wraps,28,24-34,24-39,Pro Open,100,100,390,416,,,416,220,230,235,,235,415,-436,,,415,1066,1,656.14,648.76,619.63,134.67,,Russia,,USA-UA,,2019-08-30,USA,CA,Mountain View,Boss of Bosses 6
Yury Belkin,M,SBD,Wraps,28,24-34,24-39,Open,99.2,100,,,,,340,,,,,220,,,,,400,960,1,592.97,586.14,559.91,121.74,,Russia,,USPA,IPL,2019-08-03,USA,TX,San Antonio,The Tribute
Yury Belkin,M,SBD,Wraps,28,24-34,24-39,Open,103.4,110,380,400,415,,415,220,230,,,230,-380,380,400,,400,1045,1,634.19,627.89,599.54,129.95,,Russia,,WRPF,WRPF,2019-04-27,USA,CA,Del Mar,Kern US Open
Yury Belkin,M,D,Raw,27,24-34,24-39,Open,107.2,110,,,,,,,,,,,-405,410,-432.5,-432.5,410,410,1,245.24,243.27,232.36,,,Russia,,WRPF,WRPF,2018-10-04,Russia,MOW,Moscow,World Championships
Yury Belkin,M,SBD,Wraps,27,24-34,24-39,Open,107.2,110,380,-400,,,380,225,-235,,,225,-405,410,-432.5,-432.5,410,1015,1,607.13,602.25,575.24,124.12,,Russia,,WRPF,WRPF,2018-10-04,Russia,MOW,Moscow,World Championships
Yury Belkin,M,SBD,Wraps,27,24-34,24-39,Pro MW-O,104.2,110,365,385,400,,400,220,230,,,230,385,410,,,410,1040,1,629.17,623.14,595.02,128.86,,Russia,,WRPF,WRPF,2018-08-24,USA,CA,Mountain View,Boss of Bosses V
Yury Belkin,M,SBD,Wraps,27,24-34,24-39,Open,105.7,110,,,,,380,,,,,240,,,,,405,1025,1,616.53,611.08,583.56,126.16,,Russia,,USPA,IPL,2018-05-12,USA,CA,San Diego,Kern US Open
Yury Belkin,M,SBD,Wraps,26,24-34,24-39,Open,103,110,-370,-370,370,390,370,215,-225,225,,225,425,440,,-461,440,1035,1,629.13,622.77,594.65,128.94,,Russia,,WRPF,WRPF,2017-10-28,Russia,MOW,Moscow,Pro World Championships
Yury Belkin,M,D,Raw,26,24-34,24-39,Open,103,110,,,,,,,,,,,425,440,,-461,440,440,1,267.46,264.75,252.80,,,Russia,,WRPF,WRPF,2017-10-28,Russia,MOW,Moscow,Pro World Championships
Yury Belkin,M,SBD,Wraps,26,24-34,24-39,Pro MW-O,99.6,100,380,-400,,,380,225,232.5,,,232.5,400,420,-430,,420,1032.5,1,636.63,629.38,601.17,130.68,,Russia,,WRPF,WRPF,2017-08-25,USA,CA,Mountain View,Boss of Bosses 4
Yury Belkin,M,D,Raw,26,24-34,24-39,Pro Open,98.7,100,,,,,,,,,,,-390,-390,-390,,,,DQ,,,,,,Russia,,WRPF,WRPF,2017-06-02,Russia,MOW,Moscow,European Championships
Yury Belkin,M,SBD,Wraps,26,24-34,24-39,Open,99.5,100,360,-375,,,360,220,225,,,225,390,410,-415,,410,995,1,613.77,606.77,579.58,126.00,,Russia,,IPL,IPL,2017-04-20,Russia,MOW,Dolgoprudny,European Championships
Yury Belkin,M,SBD,Wraps,26,24-34,24-39,HW,98.6,100,,,,,360,,,,,225,,,,,395,980,1,606.94,599.85,573.07,124.64,,Russia,,USPA,IPL,2017-04-15,USA,CA,Del Mar,CETC US Open Powerlifting Championships
Yury Belkin,M,D,Straps,26,24-34,24-39,Open,104,110,,,,,,,,,,,450,-470,,,450,450,1,272.45,269.82,257.64,,,Russia,,GPA,GPA,2016-12-08,Russia,MOW,Dolgoprudny,World Championships
Yury Belkin,M,D,Raw,25,24-34,24-39,Open,103.5,110,,,,,,,,,,,420,-435,-435,-435,420,420,1,254.79,252.27,240.88,,,Russia,,WRPF,WRPF,2016-11-19,Russia,MOW,Moscow,Pro World Championships
Yury Belkin,M,B,Raw,25,24-34,24-39,Open,102.7,110,,,,,,230,240,-250,,240,,,,,,240,G,146.06,144.57,138.04,108.58,,Russia,,RPU,,2016-11-06,Russia,MOW,Balashikha,Balashikha Bench Press & Deadlift Championships
Yury Belkin,M,SBD,Wraps,25,24-34,24-39,Pro MW-O,99.79,100,340,360,370,,370,215,225,230,,230,375,395,-410,,395,995,1,613.00,606.06,578.87,125.82,,Russia,,WRPF,WRPF,2016-08-19,USA,CA,Mountain View,Boss of Bosses 3
Yury Belkin,M,D,Raw,25,24-34,24-39,Open,101.6,,,,,,,,,,,,375,395,405.5,418,405.5,405.5,1,247.90,245.25,234.20,,,Russia,,WRPF,WRPF,2016-06-03,Russia,MOW,Moscow,Night Strength
Yury Belkin,M,SBD,Single-ply,25,24-34,24-39,Open,103.1,,,,,,440,,,,,290,,,,,400,1130,3,686.60,679.69,649.00,116.47,,Russia,,SCT,,2016-05-29,Russia,LEN,St. Petersburg,Super-Cup of Titans
Yury Belkin,M,B,Raw,25,24-34,24-39,Open,103,110,,,,,,220,230,-235,,230,,,,,,230,1,139.81,138.39,132.14,103.91,,Russia,,RPU,,2016-05-09,Russia,MOW,Zheleznodorozhny,Zheleznodorozhny Bench Press Cup
Yury Belkin,M,SBD,Single-ply,25,24-34,24-39,Open,101.3,110,400,420,,,420,290,-300,-300,,290,390,405.5,-418,,405.5,1115.5,1,682.82,675.44,645.02,115.94,,Russia,,IPL,IPL,2016-04-21,Russia,MOW,Dolgoprudnyy,European Powerlifting Championships
Yury Belkin,M,D,Raw,25,24-34,24-39,Open,99.4,100,,,,,,,,,,,355,372.5,-380,,372.5,372.5,1,229.88,227.25,217.07,,,Russia,,RPU,,2016-02-26,Russia,MOW,Moscow,Tournament of Strong Spirit and the Goblet of St George the Victorious
Yury Belkin,M,D,Raw,24,24-34,24-39,Pro Open,103.1,110,,,,,,,,,,,-370,370,-387.5,-387.5,370,370,3,224.82,222.55,212.50,,,Russia,,WRPF,WRPF,2015-12-03,Russia,MOW,Moscow,World Championships
Yury Belkin,M,D,Raw,24,24-34,24-39,Pro Open,103,110,,,,,,,,,,,355,367.5,-390,,367.5,367.5,1,223.39,221.13,211.14,,,Russia,,WPC-RUS,WPC,2015-11-21,Russia,MOW,Moscow,SN PRO Open Cup
