Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Zahir Khudayarov,M,B,Raw,36,35-39,24-39,Open,130.7,140,,,,,,230,250,-267.5,,250,,,,,,250,2,139.76,141.26,134.90,101.78,,,,FPO,IPA,2019-08-23,Finland,,Helsinki,Rebel Power Push-Pull
Zahir Khudayarov,M,D,Raw,36,35-39,24-39,Open,130.7,140,,,,,,,,,,,350,375,-385,,375,375,1,209.64,211.89,202.35,,,,,FPO,IPA,2019-08-23,Finland,,Helsinki,Rebel Power Push-Pull
Zahir Khudayarov,M,SBD,Wraps,34,24-34,24-39,M_OCR_WPC,127.1,140,-440,,,,,,,,,,,,,,,,DQ,,,,,,Finland,,WPC-Finland,WPC,2018-05-26,Finland,,Lahti,Finnish Nationals
Zahir Khudayarov,M,SBD,Wraps,34,24-34,24-39,M_OCR_WPC,124.9,125,400,-430,430,,430,220,240,255,,255,330,355,375,390,375,1060,1,600.91,604.13,578.18,121.11,,,,WPC,WPC,2018-04-07,Ireland,,Limerick,Irish Pro Invitational III
Zahir Khudayarov,M,B,Raw,34,24-34,24-39,Open,123.9,125,,,,,,240,-265,-265,,240,,,,,,240,1,136.40,137.01,131.20,99.89,,,,FPO,IPA,2017-08-26,Finland,,Turku,WABDL World Cup & SM penkkipunnerrus/maastanosto
Zahir Khudayarov,M,SBD,Wraps,34,24-34,24-39,Open,123.9,125,460,,480,,480,240,,,,240,250,,350,,350,1070,1,608.13,610.85,584.94,122.68,,,,FPO,IPA,2017-08-26,Finland,,Turku,WABDL World Cup & SM penkkipunnerrus/maastanosto
Zahir Khudayarov,M,B,Raw,34,24-34,24-39,Open,140,140,,,,,,,,,,260,,,,,,260,1,142.49,145.29,138.10,103.03,,,,FPO,IPA,2017-07-22,Finland,,Turku,Night of the Champions
Zahir Khudayarov,M,SBD,Wraps,32,24-34,24-39,Pro Open,129.36,140,,,,,,,,,,275,,,,,,,DQ,,,,,,,,RPS,,2016-04-23,USA,CA,San Diego,US Open
Zahir Khudayarov,M,SBD,Wraps,32,24-34,24-39,Open,124.9,125,350,400,-440,,400,200,230,250,,250,340,375,-390,,375,1025,1,581.07,584.19,559.09,117.11,,Azerbaijan,,GPA,GPA,2015-10-08,USA,GA,Athens,World Championships
Zahir Khudayarov,M,SBD,Wraps,32,24-34,24-39,Open,125,125,,,,,472.5,,,,,260,,,,,380,1112.5,1,630.52,633.95,606.68,127.07,,,,FPO,IPA,2015-09-26,Finland,,Paimio,Paimio Power Weekend
Zahir Khudayarov,M,D,Raw,31,24-34,24-39,MO-R,126.4,140,,,,,,,,,,,300,350,375,-390,375,375,1,211.79,213.22,203.98,,,Azerbaijan,,CAPO,GPA,2015-03-13,Australia,VIC,Melbourne,Arnold Classic Australia
Zahir Khudayarov,M,SBD,Wraps,31,24-34,24-39,Open,125,125,400,-430,430,450,430,200,230,250,,250,-340,350,-380,,350,1030,1,583.76,586.94,561.69,117.64,,Azerbaijan,,GPA,GPA,2014-11-21,Australia,NSW,Sydney,World Championships
Zahir Khudayarov,M,SBD,Wraps,30,24-34,24-39,Open,109.8,110,350,-390,400,,400,210,230,240,,240,310,340,360,,360,1000,1,592.67,588.82,562.74,120.95,,Azerbaijan,,FPO,IPA,2013-09-01,Finland,,Lehti,Bullfarm Powerlifting Championships
Zahir Khudayarov,M,B,Raw,29,24-34,24-39,Open,115,125,,,,,,220,232.5,235,,235,,,,,,235,1,136.95,136.55,130.71,100.99,,Azerbaijan,,WPC,WPC,2013-06-02,Portugal,,Vila do Conde,European Championships
Zahir Khudayarov,M,B,Raw,29,24-34,24-39,Pro Open,116,125,,,,,,250,260,-270,,260,,,,,,260,1,151.05,150.73,144.33,111.31,,Azerbaijan,,IPA,,2013-03-22,Azerbaijan,,Baku,European Championships
Zahir Khudayarov,M,SBD,Wraps,28,24-34,24-39,Open,105.3,110,250,300,330,,330,210,230,-242.5,,230,220,260,300,330,300,860,1,518.07,513.38,490.24,106.04,,Azerbaijan,,GPA,GPA,2011-11-30,USA,GA,Atlanta,World Championships
Zahir Khudayarov,M,B,Raw,28,24-34,24-39,Pro Open,110,110,,,,,,250,-265,,,250,,,,,,250,1,148.07,147.12,140.61,109.59,,,,IPA-AZE,IPA,2011-08-26,Azerbaijan,,,Powerlifting and Bench Press Cup
Zahir Khudayarov,M,SBD,Wraps,27,24-34,24-39,Open,107.6,110,350,370,390,,390,220,235,242.5,,242.5,290,330,-340,,330,962.5,1,574.89,570.40,544.86,117.50,,Azerbaijan,,BB,,2011-05-28,Russia,MOW,Moscow,Eurolifting
Zahir Khudayarov,M,SBD,Wraps,27,24-34,24-39,Pro,103.7,110,,,,,355,,,,,225,,,,,340,920,3,557.67,552.20,527.27,114.25,,Azerbaijan,,BB,,2010-12-18,Russia,MOW,Moscow,Worldlifting
Zahir Khudayarov,M,SBD,Wraps,26,24-34,24-39,Pro,110,110,320,340,-370,,340,-210,220,235,,235,320,340,362.5,,362.5,937.5,1,555.25,551.71,527.30,113.29,,Azerbaijan,,BB,,2010-05-14,Russia,MOW,Moscow,European RAW Powerlifting and Bench Press Championship
Zahir Khudayarov,M,SBD,Multi-ply,26,24-34,24-39,Open,109,110,-380,380,-400,,380,-280,280,300,,300,-360,-360,-360,,,,DQ,,,,,,Azerbaijan,,WPC,WPC,2010-05-06,Azerbaijan,,Bakı,World Cup
Zahir Khudayarov,M,SBD,Multi-ply,26,24-34,24-39,M_OEM_WPC,108.5,110,380,-405,-410,,380,260,275,285,,285,-370,-380,-380,,,,DQ,,,,,,Azerbaijan,,WPC,WPC,2009-11-17,England,,Bournemouth,World Championships
Zahir Khudayarov,M,SBD,Multi-ply,25,24-34,24-39,M_OEM_WPC,109.7,110,340,360,380,380.5,380,-250,250,260,,260,345,-350,365,,365,1005,1,595.84,591.93,565.69,100.75,,Azerbaijan,,WPC,WPC,2009-06-02,Finland,,Mikkeli,European Championships
Zahir Khudayarov,M,SBD,Multi-ply,24,24-34,24-39,Open,107.65,110,-330,330,-350,,330,230,245,255,,255,330,350,-360,,350,935,5,558.36,554.02,529.21,94.51,,Azerbaijan,,WPC,WPC,2007-10-29,Russia,SAM,Togliatti,World Championships
